ID,Number,IU,Speaker,Gender,Item,Vowel,Duration_IU_s,Syllables_IU,Speech_Rate,Frequency,ACC,BI,Prox,Duration_ms,Annotator_1_Duration,Annotator_2_Duration
14,14,be^cause there was such a !r\ush on#,<1_5_A>,female,such,STRUT,1.07,8,7.45,5.50,UNACC,1,3,83.8,75.7,91.9
15,15,and ^I !listened to this dis:c\/ussion#,<1_6_B>,male,this,KIT,1.28,9,7.02,6.89,UNACC,1,3,52.3,55.1,49.5
16,16,and ^c=ommented on _this#,<1_6_B>,male,this,KIT,0.90,6,6.69,6.89,UNACC,4,0,45.3,45.1,45.4
17,17,"^he`d _just ""!played his "":c\/ards#",<1_6_B>,male,just,STRUT,1.44,5,3.46,6.55,UNACC,1,3,99.9,102.2,97.7
18,18,^any 'beer off round !h\/ere 'sells it#,<1_7_A>,male,it,KIT,1.47,8,5.45,7.33,UNACC,4,0,68.6,67.8,69.3
19,19,^\I`d never 'heard of it#,<1_7_A>,male,it,KIT,0.70,6,8.56,7.33,UNACC,4,0,72.2,70.6,73.7
20,20,which ^seems to m/e#,<1_6_A>,female,which,KIT,1.18,4,3.40,6.26,UNACC,1,3,72.4,73.7,71.1
21,21,"which ^doesn`t 'go down ""w\/ell#",<1_6_A>,female,which,KIT,1.52,6,3.96,6.26,UNACC,1,4,65.9,65.3,66.5
22,22,^you know I !never !dr\ink it# ,<1_7_A>,male,it,KIT,0.86,7,8.15,7.33,UNACC,4,0,118.1,118.8,117.4
23,23,which I ^always 'used to !l\/ike#,<1_7_A>,male,which,KIT,0.94,7,7.46,6.26,UNACC,1,6,33.6,32.4,34.7
24,24,^waiting for this !n\ext five 'gallons#,<1_7_A>,male,this,KIT,1.34,8,5.95,6.89,UNACC,1,4,55.9,55.7,56.0
25,25,I`m ^going through a l\/ean period at the 'moment#,<1_7_A>,male,at,CAT,1.29,13,10.06,6.69,UNACC,1,3,33.2,33.6,32.8
26,26,"I`ve ^really "":g\/ot it 'now# ",<1_7_A>,male,it,KIT,1.29,6,4.65,7.33,UNACC,1,1,62.2,61.5,62.9
27,27,^I put !three to !f\our#,<1_7_A>,male,put,PUT,1.02,5,4.92,5.99,UNACC,1,3,45.2,49.9,40.5
28,28,it`s ^just a _question of !how much !s\ugar#,<1_7_A>,male,much,STRUT,1.06,10,9.48,6.11,UNACC,1,2,47.2,46.0,48.3
29,29,she ^died of :c\/ancer in the 'end but#,<1_7_A>,male,but,STRUT,1.24,9,7.24,6.76,UNACC,4,0,70.1,69.7,70.4
30,30,be^cause of that 'marvellous w\ater they`ve 'got#,<1_7_A>,male,that,CAT,1.60,11,6.89,7.19,UNACC,1,7,81.8,80.8,82.8
31,31,which the ^\/Irish developed#,<1_7_A>,male,which,KIT,0.83,7,8.40,6.26,UNACC,1,6,35.4,31.2,39.6
32,32,there`s ^no such !th\ing as the tr/ue thing in 'England#,<1_7_A>,male,such,STRUT,1.42,10,7.05,5.50,UNACC,1,7,43.1,43.2,43.1
33,33,**I ^th\ink that`s r/ight#,<1_7_A>,male,that,CAT,0.77,4,5.20,7.19,UNACC,1,1,99.7,100.5,99.0
34,34,the ^nearest 'we can :g\/et to it#,<1_7_A>,male,it,KIT,1.12,8,7.17,7.33,UNACC,4,0,105.9,109.5,102.3
35,35,to get ^\on with it#)),<1_7_A>,male,get,DRESS,0.52,5,9.61,6.49,UNACC,1,3,47.7,48.4,47.1
36,36,of such ^t\ack#,<1_7_A>,male,such,STRUT,0.81,3,3.69,5.50,UNACC,1,1,115.2,121.3,109.0
37,37,playing :t\/able 'tennis 'with us#,<1_7_A>,male,us,STRUT,1.15,8,6.93,6.15,UNACC,4,0,57.3,58.6,56.1
38,38,you see the ^l\/ast 'four 'years have just#,<1_9_A>,female,just,STRUT,1.37,8,5.84,6.55,UNACC,4,0,86.8,88.8,84.8
39,39,"what ^happens if 'anybody 'breaks in and ""st\/eals it#",<1_8_A>,female,it,KIT,1.97,13,6.58,7.33,UNACC,4,0,151.6,150.4,152.9
40,40,but I ^l\ike the /abstract 'ones#,<1_8_C>,female,but,STRUT,1.26,7,5.54,6.76,UNACC,1,6,24.4,23.9,25.0
41,41,I ^think you know I !think ((they`ve)) !just got !too much !f\orce 'for#,<1_8_A>,female,got,LOT,2.21,13,5.87,6.47,UNACC,1,4,65.0,66.5,63.6
42,42,in a ^picture I d/o but#,<1_8_A>,female,but,STRUT,0.87,7,8.07,6.76,UNACC,4,0,68.3,73.0,63.6
43,43,^can`t get aw/\ay from it#,<1_8_C>,female,get,DRESS,1.04,6,5.76,6.49,UNACC,1,4,55.9,56.9,54.8
44,44,I ^find I :hadn`t l\/ooked at it#,<1_8_A>,female,at,CAT,1.12,8,7.15,6.69,UNACC,1,1,53.0,56.0,49.9
